AcYear,Semester,Year,Course_num_official,Course_num_grouped,Course Name,Discipline,CB_type,Enrollment,Cap,Percent_cap
20172018,fall,2017,BIOL-4017,BIOL-4017,Advanced Genetics w/Lab,Molec,,6,16,37.5
20172018,spr,2018,BIOL-389,BIOL-389,Advanced Neuroscience,Nrsci,,15,,#DIV/0!
20182019,spr,2019,BIOL-389,BIOL-389,Advanced Neuroscience,Nrsci,,20,,#DIV/0!
20192020,spr,2020,BIOL-389,BIOL-389,Advanced Neuroscience,Nrsci,,21,,#DIV/0!
20202021,spr,2021,BIOL-389,BIOL-389,Advanced Neuroscience,Nrsci,,11,,#DIV/0!
20212022,spr,2022,BIOL-389,BIOL-389,Advanced Neuroscience,Nrsci,,15,,#DIV/0!
20172018,fall,2017,BIOL-341,BIOL-341,Anatomy & Physio I w/Lab,Org,,31,,#DIV/0!
20182019,fall,2018,BIOL-341,BIOL-341,Anatomy & Physio I w/Lab,Org,,47,,#DIV/0!
20192020,fall,2019,BIOL-351,BIOL-341,Anatomy & Physio I w/Lab,Org,,29,,#DIV/0!
20212022,fall,2021,BIOL-341,BIOL-341,Anatomy & Physio I w/Lab,Org,,29,,#DIV/0!
20202021,spr,2021,BIOL-351,BIOL-341,Anatomy & Physio I w/Lab,Org,,28,,#DIV/0!
20172018,spr,2018,BIOL-341,BIOL-351,Anatomy&Physio II w/Lab,Org,,39,,#DIV/0!
20182019,spr,2019,BIOL-341,BIOL-351,Anatomy&Physio II w/Lab,Org,,30,,#DIV/0!
20202021,fall,2020,BIOL-351,BIOL-351,Anatomy&Physio II w/Lab,Org,,29,,#DIV/0!
20192020,spr,2020,BIOL-351,BIOL-351,Anatomy&Physio II w/Lab,Org,,21,,#DIV/0!
20212022,spr,2022,BIOL-351,BIOL-351,Anatomy&Physio II w/Lab,Org,,27,,#DIV/0!
20172018,fall,2017,BIOL-309,BIOL-309,Biochemistry,Molec,,19,,#DIV/0!
20182019,fall,2018,BIOL-309,BIOL-309,Biochemistry,Molec,,20,,#DIV/0!
20172018,spr,2018,BIOL-309,BIOL-309,Biochemistry,Molec,,15,,#DIV/0!
20192020,fall,2019,BIOL-309,BIOL-309,Biochemistry,Molec,,17,,#DIV/0!
20182019,spr,2019,BIOL-309,BIOL-309,Biochemistry,Molec,,6,,#DIV/0!
20202021,fall,2020,BIOL-309,BIOL-309,Biochemistry,Molec,,18,,#DIV/0!
20192020,spr,2020,BIOL-309,BIOL-309,Biochemistry,Molec,,9,,#DIV/0!
20212022,fall,2021,BIOL-309,BIOL-309,Biochemistry,Molec,,17,,#DIV/0!
20202021,spr,2021,BIOL-309,BIOL-309,Biochemistry,Molec,,12,,#DIV/0!
20212022,spr,2022,BIOL-309,BIOL-309,Biochemistry,Molec,,5,,#DIV/0!
20172018,spr,2018,BIOL-350,BIOL-350,Cancer Biology,Molec,,4,,#DIV/0!
20182019,spr,2019,BIOL-350,BIOL-350,Cancer Biology,Molec,,6,,#DIV/0!
20202021,spr,2021,BIOL-350,BIOL-350,Cancer Biology,Molec,,5,,#DIV/0!
20212022,spr,2022,BIOL-350,BIOL-350,Cancer Biology,Molec,,5,,#DIV/0!
20182019,fall,2018,BIOL-387,BIOL-387,Cellular Mechanisms of Memory,Nrsci,,4,,#DIV/0!
20172018,fall,2017,BIOL-226,BIOL-226,Compara Animal Physiology w/L,Org,,5,16,31.25
20172018,fall,2017,BIOL-399,BIOL-399,Current Topics Neuroscience,Nrsci,,3,,#DIV/0!
20192020,fall,2019,BIOL-399,BIOL-399,Current Topics Neuroscience,Nrsci,,4,,#DIV/0!
20212022,fall,2021,BIOL-399,BIOL-399,Current Topics Neuroscience,Nrsci,,5,,#DIV/0!
20172018,spr,2018,BIOL-388,BIOL-388,Drugs and the Brain w/Lab,Nrsci,,11,,#DIV/0!
20182019,spr,2019,BIOL-388,BIOL-388,Drugs and the Brain w/Lab,Nrsci,,10,,#DIV/0!
20192020,spr,2020,BIOL-388,BIOL-388,Drugs and the Brain w/Lab,Nrsci,,8,,#DIV/0!
20202021,spr,2021,BIOL-388,BIOL-388,Drugs and the Brain w/Lab,Nrsci,,7,,#DIV/0!
20212022,spr,2022,BIOL-388,BIOL-388,Drugs and the Brain w/Lab,Nrsci,,4,,#DIV/0!
20192020,spr,2020,BIOL-4030,BIOL-4030,Epigenetics,Molec,,9,,#DIV/0!
20202021,su,2021,BIOL-3098,BIOL-3098,Extreme Physiology,Org,,10,,#DIV/0!
20172018,fall,2017,BIOL-4015,BIOL-235,Foundations of Medicine I,BMS,,10,,#DIV/0!
20182019,fall,2018,BIOL-4015,BIOL-235,Foundations of Medicine I,BMS,,10,,#DIV/0!
20192020,fall,2019,BIOL-235,BIOL-235,Foundations of Medicine I,BMS,,8,,#DIV/0!
20202021,fall,2020,BIOL-235,BIOL-235,Foundations of Medicine I,BMS,,8,,#DIV/0!
20212022,fall,2021,BIOL-235,BIOL-235,Foundations of Medicine I,BMS,,10,,#DIV/0!
20172018,spr,2018,BIOL-4016,BIOL-311,Foundations- Medicine II,BMS,,11,,#DIV/0!
20182019,spr,2019,BIOL-311,BIOL-311,Foundations- Medicine II,BMS,,7,,#DIV/0!
20192020,spr,2020,BIOL-311,BIOL-311,Foundations- Medicine II,BMS,,6,,#DIV/0!
20202021,spr,2021,BIOL-311,BIOL-311,Foundations- Medicine II,BMS,,8,,#DIV/0!
20212022,spr,2022,BIOL-311,BIOL-311,Foundations- Medicine II,BMS,,7,,#DIV/0!
20202021,fall,2020,BIOL-304,BIOL-304CBL,Health Coaches,BMS,,10,,#DIV/0!
